type_of_reference,authors,title,year,secondary_title,volume,number,start_page,end_page,doi,urls,author_address,abstract,keywords,publisher,issn,language,alternate_title1,type_of_work,name_of_database,notes,database,secondary_authors,custom7,custom2,short_title
JOUR,"['Capasso-Ballesteros, I.F.', 'De la Rosa-Rosero, F.']",Semi-automatic construction of video game design prototypes with MaruGen,2021,Revista Facultad de Ingenieria,,99,9,20,10.17533/udea.redin.20200369,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101819812&doi=10.17533%2fudea.redin.20200369&partnerID=40&md5=2605690b5ac9fa28227b560f38a8d2f5'],"Grupo Imagine: Computación Visual, Departamento de Ingeniería de Sistemas y Computación, Facultad de Ingeniería, Universidad de los Andes, Carrera 1 # 18A - 12, Bogotá, C. P. 111711, Colombia","Machinations Ruleset Generator (MaruGen) is a semi-automatic system for the generation of mechanics, rules, spaces (environments), and missions for video games. The objective of this system is to offer an expression mechanism for the video game designer role based on the definition of rules, and the ability to explore the concepts of progression and emergence in video games by using a formal, usable, and defined tool to design games with innovative and complex elements, and behaviors defined from combinations of basic elements. Based on the expressed designs and with the participation of programmers and video game artists, MaruGen allows the generation of agile video game prototypes in the Unity game engine. These prototypes can be analyzed by the entire workgroup to look for games with diverse complexities that make them attractive to their users. MaruGen is based on the expression of rules on elements of interest in video games and the rewriting mechanism using L-Systems forthe generation of procedural content. MaruGen was evaluated in the construction of the Cubic Explorer video game and tested by gamers and video game developers during the Game Jam Ludum Dare 38. © 2021. All Rights Reserved.","['automatic game design', 'game prototyping', 'procedural content generation', 'Video game design', 'video games']",Universidad de Antioquia,01206230 (ISSN),English,Rev. Fac. Ing.,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: F. De la Rosa-Rosero; Grupo Imagine: Computación Visual, Departamento de Ingeniería de Sistemas y Computación, Facultad de Ingeniería, Universidad de los Andes, Bogotá, Carrera 1 # 18A - 12, C. P. 111711, Colombia; email: fde@uniandes.edu.co']",SCOPUS,,,,Construcción semi-automática de prototipos de diseños de videojuegos con MaruGen
CONF,"['Biemer, C.', 'Hervella, A.', 'Cooper, S.']",Gram-Elites: N-Gram Based Quality-Diversity Search,2021,ACM International Conference Proceeding Series,,,,,10.1145/3472538.3472599,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118262881&doi=10.1145%2f3472538.3472599&partnerID=40&md5=2c2c478f22c6878e29e40cd7576c0b83'],"Northeastern University, United States","In the context of procedural content generation via machine learning (PCGML), quality-diversity (QD) algorithms are a powerful tool to generate diverse game content. A branch of QD uses genetic operators to generate content (e.g. MAP-Elites). Problematically, levels generated with these operators have no guarantee of matching the style of a game. This can be addressed by incorporating whether a level is generable by an n-gram into the fitness function. Unfortunately, this leads to wasted computation and poor results. In this work, we introduce n-gram genetic operators, which produce only solutions that are generable by the n-gram model; we call MAP-Elites combined with these operators Gram-Elites. We test on a tile-based side-scrolling platformer, vertical platformer, and roguelike. For all three, n-gram operators outperform standard operators and random n-gram generation, finding more usable (i.e. completable and generable) solutions at a faster rate. By integrating structure into operators, instead of fitness, these genetic operators could be beneficial to QD in PCGML.  © 2021 ACM.","['genetic operators', 'n-grams', 'procedural content generation', 'quality-diversity', 'video games', 'Computer games', 'Human computer interaction', 'Interactive computer graphics', 'Fitness functions', 'Game contents', 'Genetic operators', 'Matchings', 'N-gram modeling', 'N-gram models', 'N-grams', 'Procedural content generations', 'Quality-diversity', 'Video-games', 'Machine learning']",Association for Computing Machinery,978-145038422-3 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Conference name: 16th International Conference on the Foundations of Digital Games, FDG 2021; Conference date: 2 August 2021 through 6 August 2021; Conference code: 172903']",SCOPUS,"['Fowler A.', 'Pirker J.', 'Canossa A.A.', 'Arya A.A.', 'Harteveld C.']",3472599,,
CONF,"['Veloso, C.', 'Prada, R.']",Validating the plot of Interactive Narrative games,2021,"IEEE Conference on Computatonal Intelligence and Games, CIG",2021-August,,,,10.1109/CoG52621.2021.9618897,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122920664&doi=10.1109%2fCoG52621.2021.9618897&partnerID=40&md5=44d762e0abed833b886b1aedc5eebd4e'],"Universidade de Lisboa, INESC-ID Instituto Superior Técnico, Lisboa, Portugal","The authoring of interactive dialogues in video games is an overwhelming and complex task for game writers. Developing an Interactive Narrative that balances authorial intent and players' agency requires frequent in-depth testing. The limited range of tools to assist authors in verifying their story can limit the creation of more complex narratives. In this paper, we discuss the challenges of Interactive Story design and provide a model consisting of a set of metrics for testing interactive dialogues. Using this model, we developed a prototype for the Story Validator tool. This debugging tool allows game writers to experiment with different hypotheses and narrative properties in order to identify inconsistencies in the authored narrative and predict the output of different playthroughs with visual representation support. We conducted a series of user tests, Using the Story Validator, to investigate whether the tool adequately helps users identify problems that appear in the game's story. The results showed that the tool enables content creators to easily test their stories, setting our model as a good step towards automated verification for assistance of authoring interactive narratives. © 2021 IEEE.","['Authoring Systems', 'Automated Playtesting', 'Interactive Narratives', 'Verification', 'Program debugging', 'Authoring systems', 'Automated playtesting', 'Complex task', 'Debugging tools', 'In-depth testing', 'Interactive dialogs', 'Interactive narrative', 'Interactive stories', 'Property', 'Video-games', 'Human computer interaction']",IEEE Computer Society,23254270 (ISSN); 978-166543886-5 (ISBN),English,"IEEE Conf. Comput. Intell. Games, CIG",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 5; Conference name: 2021 IEEE Conference on Games, CoG 2021; Conference date: 17 August 2021 through 20 August 2021; Conference code: 175285']",SCOPUS,,,,
CONF,"['Dankov, Y.']",A Functional Model of a Designer of Educational Maze Game,2021,ACM International Conference Proceeding Series,,,356,361,10.1145/3494885.3494952,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122043481&doi=10.1145%2f3494885.3494952&partnerID=40&md5=eb774418bb35f93f3b6fa61ea76010a1'],"Faculty of Mathematics and Informatics, Sofia University, Bulgaria","Game-based learning and serious games are popular topics among researchers and practitioners, resulting in multiple studies, demonstrating the various benefits to the users. The paper is based on the application of the TIMED-VGE taxonomy (or Taxonomy of Instruments for Management and Evaluation of the Design of Video Games for Education) in the APOGEE (smArt adaPtive videO GamEs for Education) software platform. The platform provides an automatic generation of educational video maze games (based on formal maze game descriptions as XML documents), personalization capabilities and personalized content, and adaptive gameplay. According to the application of the TIMED-VGE taxonomy in the APOGEE platform, the software tools are divided into two main categories (Assistive instruments and Analytics Instruments), which represent the whole set of tools facilitating the processes of the design and creation of educational video games in the APOGEE platform. The taxonomy represents the hierarchical structure of the software tools and in each category, there is a certain set of tools. The focus of this paper is on the development of a functional model of the instrument Maze Game Designer, based on the application of the TIMED-VGE taxonomy. The Maze Game Designer is in the category ""Design management""instruments, according to the taxonomy. The tool is key to starting the process of designing and creating educational games in the APOGECrossed D sign• platform. Therefore, the paper presents further development of the Maze Game Designer instrument and its functionalities, based on the core user functionalities of the tool, analyzed and developed in previous publications of the author. As a result, the paper presents an extended version of the user functionalities of the Maze Game Designer instrument, based on the application of the TIMED-VGE taxonomy in the APOGEE software platform. Based on these functionalities, the paper presents the developed two functional models of the tool and the main workflow of the Maze Game Designer instrument. This includes a Functional model of the tool and a Detailed functional model of the Edit Maze Game use case of the Maze Game Designer instrument. All these results will serve for the future development of the tool. The development of a key instrument of the APOGEE software platform, according to the application of the TIMED-VGE taxonomy, will contribute to increasing the designer's capabilities to use the platform's instruments for the design and creation of improved video games for education. © 2021 ACM.","['Application programs', 'Design', 'Game design', 'Human computer interaction', 'Interactive computer graphics', 'Serious games', 'Automatic Generation', 'Education softwares', 'Educational videos', 'Functional modelling', 'Game-Based', 'Game-based Learning', 'Games designers', 'Personalizations', 'Software platforms', 'Video-games', 'Taxonomies']",Association for Computing Machinery,978-145039067-5 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Correspondence Address: Y. Dankov; Faculty of Mathematics and Informatics, Sofia University, Bulgaria; email: yavor.dankov@fmi.uni-sofia.bg; Conference name: 4th International Conference on Computer Science and Software Engineering, CSSE 2021; Conference date: 22 October 2021 through 24 October 2021; Conference code: 175545']",SCOPUS,,,,
JOUR,"['Toquica, D.', 'Agbossou, K.', 'Henao, N.', 'Malhamé, R.', 'Kelouwani, S.', 'Amara, F.']",Prevision and planning for residential agents in a transactive energy environment,2021,Smart Energy,2,,,,10.1016/j.segy.2021.100019,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120706002&doi=10.1016%2fj.segy.2021.100019&partnerID=40&md5=5528142e94e23c2b1708f37ee46208c9'],"Department of Electrical and Computer Engineering, Université du Québec à Trois-Rivières, 3351, boul. des Forges, Trois-Rivières, Quebec, G8Z 4M3, QC, Canada","Transactive Energy (TE) has brought exciting opportunities for all stakeholders in energy markets by enabling management decentralization. This new paradigm empowers demand-side agents to play a more active role through coordinating, cooperating, and negotiating with other agents. Nevertheless, most of these agents are not used to process market signals and develop optimal strategies, especially in the residential sector. Accordingly, it is indispensable to create tools that automate and facilitate demand-side participation in TE systems. This paper presents a new methodology for residential automated agents to perform two key tasks: prevision and planning. Specifically, the proposed method is applied to a forward market where agents' planning is a fundamental step to maintain the dynamic balance between demand and generation. Since planning depends on future demand, agents' prevision of consumption is an inevitable part of this step. The procedures for automating the targeted tasks are developed in a general way for residential prosumers and consumers, interacting at the distribution level. These players are managed by a demand aggregator as the leader by means of the Stackelberg game. The suggested process results in a TE setup for multi-stage single-side auctions, useful to manage future Smart Energy Markets. Through simulated transactions, this paper examines the market clearing mechanism and the convenience of agents' planning. The results show that customers with higher price-elasticity leverage lower costs periods. However, they make it harder to reduce the peak-to-average ratio of the aggregated demand profile since a unique price signal can create prisoner's dilemma conditions. © 2021 The Author(s)","['Agents interaction', 'Forward market', 'Multi-agent system', 'Price-elasticity', 'Prosumer', 'Smart energy markets', 'Stackelberg game', 'Transactive energy', 'Utility function', 'Elasticity', 'Housing', 'Power markets', 'Agent interaction', 'Energy', 'Energy markets', 'Forward market', 'Price-elasticity', 'Prosumer', 'Smart energies', 'Smart energy market', 'Stackelberg Games', 'Transactive energy', 'Utility functions', 'Multi agent systems']",Elsevier Ltd,26669552 (ISSN),English,Smart Energy,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 19; Correspondence Address: D. Toquica; Department of Electrical and Computer Engineering, Université du Québec à Trois-Rivières, Quebec, 3351, boul. des Forges, Trois-Rivières, G8Z 4M3, Canada; email: david.camilo.toquica.cardenas@uqtr.ca']",SCOPUS,,100019,,
CONF,"['Newgas, A.']",Tessera: A Practical System for Extended WaveFunctionCollapse,2021,ACM International Conference Proceeding Series,,,,,10.1145/3472538.3472605,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118239749&doi=10.1145%2f3472538.3472605&partnerID=40&md5=8eff9a3cbeb9ba51cbb3d732a9fec7b0'],,"Constraint-based procedural generation has recently had a lot of interest following the publication of the WaveFunctionCollapse (WFC) algorithm, but usability issues have restricted the number of games and projects that have resulted. We present Tessera, a library and tool for WFC specifically designed to address the practical issues that arise from constraint based generation. We discuss the user interface of the tool and useful extensions to the base algorithm of WFC.  © 2021 ACM.","['constraint solving', 'procedural content generation', 'wavefunctioncollapse', 'Constraint Solving', 'Constraint-based', 'Practical issues', 'Practical systems', 'Procedural content generations', 'Wavefunctioncollapse', 'User interfaces']",Association for Computing Machinery,978-145038422-3 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 7; Conference name: 16th International Conference on the Foundations of Digital Games, FDG 2021; Conference date: 2 August 2021 through 6 August 2021; Conference code: 172903']",SCOPUS,"['Fowler A.', 'Pirker J.', 'Canossa A.A.', 'Arya A.A.', 'Harteveld C.']",3472605,,
CONF,"['Sorochan, K.', 'Chen, J.', 'Yu, Y.', 'Guzdial, M.']",Generating Lode Runner Levels by Learning Player Paths with LSTMs,2021,ACM International Conference Proceeding Series,,,,,10.1145/3472538.3472602,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118234051&doi=10.1145%2f3472538.3472602&partnerID=40&md5=a41a349c14955bc0630a7e71bdbee683'],"University of Alberta, Edmonton, Canada","Machine learning has been a popular tool in many different fields, including procedural content generation. However, procedural content generation via machine learning (PCGML) approaches can struggle with controllability and coherence. In this paper, we attempt to address these problems by learning to generate human-like paths, and then generating levels based on these paths. We extract player path data from gameplay video, train an LSTM to generate new paths based on this data, and then generate game levels based on this path data. We demonstrate that our approach leads to more coherent levels for the game Lode Runner in comparison to an existing PCGML approach.  © 2021 ACM.","['datasets', 'neural networks', 'path detection', 'path learning', 'Dataset', 'Gameplay', 'Human like', 'Machine learning approaches', 'Neural-networks', 'Path detections', 'Path learning', 'Path-based', 'Procedural content generations', 'Long short-term memory']",Association for Computing Machinery,978-145038422-3 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 4; Conference name: 16th International Conference on the Foundations of Digital Games, FDG 2021; Conference date: 2 August 2021 through 6 August 2021; Conference code: 172903']",SCOPUS,"['Fowler A.', 'Pirker J.', 'Canossa A.A.', 'Arya A.A.', 'Harteveld C.']",3472602,,
CONF,"['Schrum, J.', 'Gutierrez, J.', 'Volz, V.', 'Liu, J.', 'Lucas, S.', 'Risi, S.']",Interactive evolution and exploration within latent level-design space of generative adversarial networks,2020,GECCO 2020 - Proceedings of the 2020 Genetic and Evolutionary Computation Conference,,,148,156,10.1145/3377930.3389821,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091745122&doi=10.1145%2f3377930.3389821&partnerID=40&md5=6d2417449ba16c0ad0450e502e3b8b63'],"Southwestern University, Georgetown, TX, United States","Generative Adversarial Networks (GANs) are an emerging form of indirect encoding. The GAN is trained to induce a latent space on training data, and a real-valued evolutionary algorithm can search that latent space. Such Latent Variable Evolution (LVE) has recently been applied to game levels. However, it is hard for objective scores to capture level features that are appealing to players. Therefore, this paper introduces a tool for interactive LVE of tile-based levels for games. The tool also allows for direct exploration of the latent dimensions, and allows users to play discovered levels. The tool works for a variety of GAN models trained for both Super Mario Bros. and The Legend of Zelda, and is easily generalizable to other games. A user study shows that both the evolution and latent space exploration features are appreciated, with a slight preference for direct exploration, but combining these features allows users to discover even better levels. User feedback also indicates how this system could eventually grow into a commercial design tool, with the addition of a few enhancements. © 2020 ACM.","['Generative adversarial network', 'Interactive evolution', 'Latent variable evolution', 'Procedural content generation', 'Video games', 'Space research', 'Adversarial networks', 'Commercial design', 'Indirect encoding', 'Interactive evolution', 'Latent variable', 'Space explorations', 'Training data', 'User feedback', 'Evolutionary algorithms']",Association for Computing Machinery,978-145037128-5 (ISBN),English,GECCO - Proc. Genet. Evol. Comput. Conf.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 39; Conference name: 2020 Genetic and Evolutionary Computation Conference, GECCO 2020; Conference date: 8 July 2020 through 12 July 2020; Conference code: 161512']",SCOPUS,,,,
CONF,"['Truesdell, E.J.K.']",Curve-Based Level Generation for a Full-Body VR Rhythm Game,2021,"17th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2021",,,246,248,10.1609/aiide.v17i1.18918,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129871015&doi=10.1609%2faiide.v17i1.18918&partnerID=40&md5=cebbab79284064f2ccfa2de702876478'],"Georgia Institute of Technology, Atlanta, GA, United States","Due to the large amount of content authoring required to produce levels for rhythm games, procedural content generation provides an attractive alternative for generating levels in large numbers. Frequently, however, level generators for rhythm games rely only on a “difficulty” measure to describe desired level properties. This work presents level generation tool for BEAMS, a full-body virtual reality rhythm game. The BEAMS level generator allows designers to shape curves describing four characteristics of the obstacles needed for a game in which the primary interaction involves the human body in three-dimensional space. Copyright © 2021, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","['Artificial intelligence', 'Full body', 'Generation tools', 'Human bodies', 'Large amounts', 'Procedural content generations', 'Property', 'Three dimensional space', 'Virtual reality']",Association for the Advancement of Artificial Intelligence,978-171384473-0 (ISBN),English,"AAAI Conf. Artif. Intell. Interact. Digit. Entertain., AIIDE",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Correspondence Address: E.J.K. Truesdell; Georgia Institute of Technology, Atlanta, United States; email: erinjktruesdell@gatech.edu; Conference name: 17th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2021; Conference date: 11 October 2021 through 15 October 2021; Conference code: 178791']",SCOPUS,,,,
CONF,"['Petrovas, A.', 'Bausys, R.']",Regionally morphing objects for the genetic WASPAS-SVNS game scene generation algorithm,2022,"International Conference on Electrical, Computer, and Energy Technologies, ICECET 2022",,,,,10.1109/ICECET55527.2022.9872949,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138908139&doi=10.1109%2fICECET55527.2022.9872949&partnerID=40&md5=44230694f534f0e299d4a02e87ec8f46'],"Vilnius Gediminas Technical University, Faculty of Fundamental Sciences, Vilnius, Lithuania","Creative content assistance tools are gaining popularity as they allow one to reduce the time needed to create content in games and other media. Procedural generation allows us to create levels autonomously. The main objective of computational creativity is to replicate results, which are usually created by humans. Our tool is an extension of the genetic WASPAS-SVNS game scene generator. It adds variety to a functional game object type by adding an array of possible visual variations. The morphs of the objects are selected regionally and randomly based on a randomly selected point in the game scene. Results are generated for the 'wall' and 'empty space' object types by adding grass and tree objects to the initial object type. It adds creative value to the level of the game without breaking the rules of game design.  © 2022 IEEE.","['game scene', 'procedural generation', 'regional object morph', 'WASPAS-SVNS', 'Computational creativities', 'Creatives', 'Game scene', 'Generation algorithm', 'Morphing', 'Procedural generation', 'Regional object morph', 'Scene generation', 'Scene generator', 'WASPAS-SVNS', 'Game design']",Institute of Electrical and Electronics Engineers Inc.,978-166547087-2 (ISBN),English,"Int. Conf. Electr., Comput., Energy Technol., ICECET",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 2022 IEEE International Conference on Electrical, Computer, and Energy Technologies, ICECET 2022; Conference date: 20 July 2022 through 22 July 2022; Conference code: 182630']",SCOPUS,,,,
JOUR,"['Latif, A.', 'Zuhairi, M.F.', 'Khan, F.Q.', 'Randhawa, P.', 'Patel, A.']",A Critical Evaluation of Procedural Content Generation Approaches for Digital Twins,2022,Journal of Sensors,2022,,,,10.1155/2022/5629645,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135828065&doi=10.1155%2f2022%2f5629645&partnerID=40&md5=81a1085f678a923f443edd43ed26b1cc'],"Malaysian Institute of Information Technology, Universiti Kuala Lumpur, Kuala Lumpur, 59100, Malaysia","Procedural content generation (PCG) of terrains is one of the main building blocks for creating an automated and real-time virtual world. This study provides and in-depth review of the different tools, algorithms, and engines used for the PCG of terrains for the PCG of digital worlds; we focus especially on terrain generation but address also the main issues related to build structures and characters. It is important to know that the PCG of terrains can be implemented in a multidisciplinary scenario, for instance, modeling of games, simulating industrial maps, urban and rural planning of developments, government, and nongovernmental agency improvement plans. Many problems in current approaches were identified from the literature, where most of the researches studied were merely throwaway prototyping based, i.e., proof of concept-based systems, and were not tested in the real environment. Also, genetic algorithm-based PCG of terrains lack multiple features such as roads and buildings. The virtual cities generated through different engines were lacking a realistic look and feel. Terrain generation through multiobjective evolutionary algorithms (MOEAs) is investigated, and it is deemed the usage was restricted to the gaming domain and not extended to other fields. Findings suggest that the correctness of generated terrain is a big issue in the automatic generation of terrains. Thus, a focus on the automated correctness check is required. Other important content generation in video games such as structure generation and character generation has been extensively studied, and the techniques are analysed in the further sections of this research work.  © 2022 Abdul Latif et al.","['Genetic algorithms', 'Landforms', 'Virtual reality', 'Building blockes', 'Critical evaluation', 'Digital world', 'Know-that', 'Map planning', 'Procedural content generations', 'Real- time', 'Terrain generations', 'Urban and rural', 'Virtual worlds', 'Engines']",Hindawi Limited,1687725X (ISSN),English,J. Sensors,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Correspondence Address: F.Q. Khan; Department of Computer Science, University of Swat, Shangla Campus, Alpurai Shangla, 19100, Pakistan; email: fazal.qadus@uswat.edu.pk']",SCOPUS,,5629645,,
JOUR,"['Petrovas, A.', 'Bausys, R.']",Procedural Video Game Scene Generation by Genetic and Neutrosophic WASPAS Algorithms,2022,Applied Sciences (Switzerland),12,2,,,10.3390/app12020772,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122870036&doi=10.3390%2fapp12020772&partnerID=40&md5=b7eaacf6b8ecac6c9f10c0a3fdfadae4'],"Department of Graphical Systems, Vilnius Gediminas Technical University, Sauletekio al. 11, Vilnius, LT-10223, Lithuania","The demand for automated game development assistance tools can be fulfilled by computational creativity algorithms. The procedural generation is one of the topics for creative content development. The main procedural generation challenge for game level layout is how to create a diverse set of levels that could match a human-crafted game scene. Our game scene layouts are created randomly and then sculpted using a genetic algorithm. To address the issue of fitness calculation with conflicting criteria, we use weighted aggregated sum product assessment (WASPAS) in a single-valued neutrosophic set environment (SVNS) that models the indeterminacy with truth, intermediacy, and falsehood memberships. Results are presented as an encoded game object grid where each game object type has a specific function. The algorithm creates a diverse set of game scene layouts by combining game rules validation and aesthetic principles. It successfully creates functional aesthetic patterns without specifically defining the shapes of the combination of games’ objects. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","['Game scene', 'Genetic algorithm', 'Multicriteria decision making', 'Procedural generation', 'WASPAS-SVNS']",MDPI,20763417 (ISSN),English,Appl. Sci.,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 12; Correspondence Address: R. Bausys; Department of Graphical Systems, Vilnius Gediminas Technical University, Vilnius, Sauletekio al. 11, LT-10223, Lithuania; email: romualdas.bausys@vilniustech.lt']",SCOPUS,,772,,
CONF,"['Waterman, M.W.', 'Frezzo, D.C.', 'Wang, M.X.']",Adaptive Learning using Finite State Machine Logic,2020,L@S 2020 - Proceedings of the 7th ACM Conference on Learning @ Scale,,,237,240,10.1145/3386527.3406720,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094910871&doi=10.1145%2f3386527.3406720&partnerID=40&md5=57354ae0efd4de882c152548a4c06c83'],"Cisco Systems, San Jose, United States","We demonstrate the feasibility of Finite State Machine (FSM) logic to design adaptively scaffolded activities, presenting early work integrating adaptive learning into a learning tool in widespread use globally. We describe how integrating FSM logic with existing assessment architecture enables us to extend from direct measurement to scaffolding and feedback interventions on a spectrum of timescales from 1-second to several hours. Four prototypes are shared, demonstrating how this FSM logic affords design across differing learning contexts. Implications for design of efficiency and empowerment at scale, potential for content co-creation, and transformation of learning are discussed. © 2020 Owner/Author.","['adaptive learning', 'educational games', 'finite state machine', 'networking', 'scaffolding', 'simulations', 'student agency', 'Computer circuits', 'Finite automata', 'Scaffolds', 'Adaptive learning', 'Co-creation', 'Direct measurement', 'Feedback interventions', 'Learning context', 'Learning tool', 'Time-scales', 'Learning systems']",Association for Computing Machinery,978-145037951-9 (ISBN),English,LS - Proc. ACM Conf. Learn. Scale,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 2; Conference name: 7th Annual ACM Conference on Learning at Scale, L@S 2020; Conference date: 12 August 2020 through 14 August 2020; Conference code: 162054']",SCOPUS,,,,
JOUR,"['Charity, M.', 'Dave, I.', 'Khalifa, A.', 'Togelius, J.']",Baba is Y’all 2.0: Design and Investigation of a Collaborative Mixed-Initiative System,2022,IEEE Transactions on Games,16,1,75,89,10.1109/TG.2022.3223527,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144008619&doi=10.1109%2fTG.2022.3223527&partnerID=40&md5=be226be83941faccfe4f2faac8f42909'],"The New York University in the Game Innovation Lab, Brooklyn, 11201, NY, United States","This article describes a new version of the mixed-initiative collaborative level-designing system, i.e., Baba is Y’all, as well as the results of a user study on the system. Baba is Y’all is a prototype for artificial intelligence (AI)-assisted game design in collaboration with others. The updated version includes a more user-friendly interface, a better level evolver and recommendation system, and extended site features. The system was evaluated via a user study where participants were required to play a previously submitted level from the site, and then create their own levels using the editor. They reported on their individual process creating the level and their overall experience interacting with the site. The results have shown both the benefits and limitations of this mixed-initiative system and how it can help with creating a diversity of Baba is You levels that are both human and AI designed while maintaining their quality. © 2022 IEEE.","['Artificial intelligence (AI)', 'Baba Is You', 'collaboration', 'crowdsourcing', 'level design', 'mixed-initiative', 'procedural content generation (PCG)', 'Game design', 'Baba be you', 'Collaboration', 'Crowd sourcing', 'Encyclopedia', 'Game', 'Generator', 'Level design', 'Mixed-initiative', 'On-line service', 'PCG', 'Prototype', 'Artificial intelligence']",Institute of Electrical and Electronics Engineers Inc.,24751502 (ISSN),English,IEEE Trans. Games,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 4; Correspondence Address: M. Charity; The New York University in the Game Innovation Lab, Brooklyn, 11201, United States; email: mlc761@nyu.edu']",SCOPUS,,,,
CONF,"['Guzdial, M.', 'Sturtevant, N.', 'Yang, C.']",The Impact of Visualizing Design Gradients for Human Designers,2021,"17th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2021",,,18,25,10.1609/aiide.v17i1.18886,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129829109&doi=10.1609%2faiide.v17i1.18886&partnerID=40&md5=ee151c2b1fbf4ffa4505cde48aaab38c'],"Department of Computing Science, Alberta Machine Intelligence Institute (AMII), University of Alberta, Canada","Mixed-initiative Procedural Content Generation (PCG) refers to tools or systems in which a human designer works with an algorithm to produce game content. This area of research remains relatively under-explored, with the majority of mixed-initiative PCG level design systems using a common set of search-based PCG algorithms. In this paper, we introduce a mixed-initiative tool employing Exhaustive PCG (EPCG) for puzzle level design to further explore mixed-initiative PCG. We run an online human subject study in which individuals use the tool with an EPCG component turned on or off. Our analysis of the results demonstrates that, although a majority of users did not prefer the tool, it made the level design process significantly easier, and that the tool impacted the subjects' design process. This paper describes the study results and draws lessons for mixed-initiative PCG tool design. Copyright © 2021, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","['Artificial intelligence', 'Content generation tools', 'Design systems', 'Design-process', 'Game contents', 'Generation algorithm', 'Human subjects', 'Level design', 'Mixed-initiative', 'Procedural content generations', 'Search-based', 'Design']",Association for the Advancement of Artificial Intelligence,978-171384473-0 (ISBN),English,"AAAI Conf. Artif. Intell. Interact. Digit. Entertain., AIIDE",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 3; Conference name: 17th AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment, AIIDE 2021; Conference date: 11 October 2021 through 15 October 2021; Conference code: 178791']",SCOPUS,,,,
