type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,unknown_tag,issn,date,year,volume,number,start_page,end_page,doi,accession_number,notes,database,custom7,custom6,first_authors
JOUR,"['Mondou, D']",Temporal automata for robotic scenario modeling with CIT framework,MULTIMEDIA TOOLS AND APPLICATIONS,English,"['Formal modelling', 'Automaton', 'Robotics', 'Human-robot interaction', 'BEHAVIOR']","Many approaches for designing robotic applications have been proposed in recent years. If they are relevant to the problem they solve, most of them are platform- or language-dependent. To solve this problem, the use of formal models for scenario or activity generation is essential to ensure a high-quality experience. In this context, the use of Petri nets or automata is widespread. Based on this observation, we propose the formal CIT (content interaction time) model [37], which is dedicated to the development of interactive robotic applications and based on networks of input/output timed automata. In this paper, we propose the use of the CELTIC (Common Editor for Location Time Interaction and Content) and EDAIN (Execution Driver based on Artificial INtelligence) software platforms to allow for a simplified and generic modelling of robotic applications and their supervision based on the CIT model. We used this approach to design a serious game with the humanoid robot Nao. This game allows young people to playfully discover the ethnography exhibition at the Natural History Museum of La Rochelle, France, and the archaeology exhibition at the Sainte Croix Museum of Poitiers, France. After these experiments, we identified problems regarding dynamic adaptations of the scenario (robot listening time, speech recognition threshold...). The end of this article presents the beginning of our reflections on the integration of a reinforcement learning algorithm that optimises the parameters of a scenario's execution.","La Rochelle Univ, Lab L3i, 23 Ave Michel Crepeau, F-17042 La Rochelle, France",,"defaultdict(<class 'list'>, {'PU': ['SPRINGER'], 'PI': ['DORDRECHT'], 'PA': ['VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS'], 'J9': ['MULTIMED TOOLS APPL'], 'JI': ['Multimed. Tools Appl.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1380-7501,2024 JAN 6,2024,,,,,10.1007/s11042-023-18051-5,WOS:001155154900008,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  60']",WOS,,JAN 2024,
CPAPER,"['Cannavò, A', ""D'Alessandro, A"", 'Maglione, D', 'Marullo, G', 'Zhang, CY', 'Lamberti, F']",Automatic Generation of Affective 3D Virtual Environments from 2D Images,"PROCEEDINGS OF THE 15TH INTERNATIONAL JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS, VOL 1: GRAPP",English,"['Virtual Reality', 'Image-based Modeling', 'Scene and Object Modeling', 'Human-Computer Interaction', 'REALITY']","Today, a wide range of domains encompassing, e.g., movie and video game production, virtual reality simulations, augmented reality applications, make a massive use of 3D computer generated assets. Although many graphics suites already offer a large set of tools and functionalities to manage the creation of such contents, they are usually characterized by a steep learning curve. This aspect could make it difficult for non-expert users to create 3D scenes for, e.g., sharing their ideas or for prototyping purposes. This paper presents a computer-based system that is able to generate a possible reconstruction of a 3D scene depicted in a 2D image, by inferring objects, materials, textures, lights, and camera required for rendering. The integration of the proposed system into a well-known graphics suite enables further refinements of the generated scene using traditional techniques. Moreover, the system allows the users to explore the scene into an immersive virtual environment for better understanding the current objects' layout, and provides the possibility to convey emotions through specific aspects of the generated scene. The paper also reports the results of a user study that was carried out to evaluate the usability of the proposed system from different perspectives.","Politecn Torino, Dipartimento Automat & Informat, Corso Duca Abruzzi 24, Turin, Italy",Polytechnic University of Turin,"defaultdict(<class 'list'>, {'ED': ['Bouatouch, K', 'Sousa, AA', 'Braz, J'], 'CP': ['15th International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications (VISIGRAPP) / 15th International Conference on Computer Vision Theory and Applications (VISAPP)'], 'PU': ['SCITEPRESS'], 'PI': ['SETUBAL'], 'PA': ['AV D MANUELL, 27A 2 ESQ, SETUBAL, 2910-595, PORTUGAL'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-989-758-402-2,,2020,,,113,124,10.5220/0008951301130124,WOS:000573715700010,"['Times Cited in Web of Science Core Collection:  7', 'Total Times Cited:  7', 'Cited Reference Count:  30']",WOS,,,
CPAPER,"['Liu, ZH', 'Li, Y', 'Tu, FY', 'Zhang, RY', 'Cheng, ZL', 'Yokoya, N']",DeepTreeSketch: Neural Graph Prediction for Faithful 3D Tree Modeling from Sketches,"PROCEEDINGS OF THE 2024 CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYTEMS, CHI 2024",English,"['3D modeling interface', 'sketching system', 'ideation', 'neural networks', 'DESIGN', 'SHAPE']","We present DeepTreeSketch, a novel AI-assisted sketching system that enables users to create realistic 3D tree models from 2D free-hand sketches. Our system leverages a tree graph prediction network, TGP-Net, to learn the underlying structural patterns of trees from a large collection of 3D tree models. The TGP-Net simulates the iterative growth of botanical trees and progressively constructs the 3D tree structures in a bottom-up manner. Furthermore, our system supports a flexible sketching mode for both precise and coarse control of the tree shapes by drawing branch strokes and foliage strokes, respectively. Combined with a procedural generation strategy, users can freely control the foliage propagation with diverse and fine details. We demonstrate the expressiveness, efficiency, and usability of our system through various experiments and user studies. Our system offers a practical tool for 3D tree creation, especially for natural scenes in games, movies, and landscape applications.","Univ Tokyo, Tokyo, Japan",University of Tokyo,"defaultdict(<class 'list'>, {'CP': ['CHI Conference on Human Factors in Computing Sytems (CHI)'], 'FU': ['JST, FOREST [JPMJFR206S]; NSFC [U21A20515, 61972388]; Guangdong Major Project of Basic Research [2023B0303000016]; Shenzhen ST Program [GJHZ20210705141402008]; RIKEN Junior Research Associate (JRA) Program'], 'FX': ['This work was supported in part by the following programs: JST, FOREST under Grant Number JPMJFR206S; RIKEN Junior Research Associate (JRA) Program; NSFC (No. U21A20515, 61972388), Guangdong Major Project of Basic Research (2023B0303000016), and Shenzhen S&T Program (GJHZ20210705141402008).'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",979-8-4007-0330-0,,2024,,,,,10.1145/3613904.3642125,WOS:001255317904026,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  68']",WOS,,,['ACM']
JOUR,"['Wang, XW', 'Zhao, YH', 'Wang, ZH', 'Hu, N']",An ultrafast and robust structural damage identification framework enabled by an optimized extreme learning machine,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,English,"['Damage identification', 'Extreme learning machine', 'Chaos game optimization', 'Ensemble empirical mode decomposition', 'NEURAL-NETWORK', 'MODEL', 'SYSTEM']","Artificial intelligence (AI) has recently been implemented in structural health monitoring (SHM) systems for damage detection and identification. However, existing AI methods often involve a high number of parameters, resulting in the laborious workload during model training and implementation. In this study, we develop a lightweight damage identification framework embedded with an optimized extreme learning machine (ELM) using a significantly reduced number of parameters from frequency features of the structural vibrational signals. Coupled with the ensemble empirical mode decomposition (EEMD), the frequency features were abstracted from the structural vibrational signals in the data pre-processing step. Then, a metaheuristic algorithm (chaos game optimization, CGO) was chosen to optimize the model weight of the ELM to guarantee damage identification accuracy. Once the model is trained, the structural damages can be precisely identified despite the noise-contaminated data. We validated the efficiency and accuracy of the proposed framework with a public database and compare its performance with several common metaheuristic algorithms. With the proven capability, the proposed framework shows a promising future as a handy and reliable AI-assisted digital tool for robust development in next-generation structural monitoring systems.","North China Univ Water Resources & Elect Power, Sch Civil Engn & Commun, Zhengzhou 450045, Peoples R China",North China University of Water Resources & Electric Power,"defaultdict(<class 'list'>, {'FU': ['Science and Technology Plan Project of the Guangzhou Municipal Construction Group Co., Ltd [2021KJ005]; Guangdong Provincial Key Laboratory of Modern Civil Engineering Technology [2021B1212040003]'], 'FX': ['X. W. and Y. Z. contributed equally to this work. This work was supported by the Science and Technology Plan Project of the Guangzhou Municipal Construction Group Co., Ltd (No.2021KJ005) and the Guangdong Provincial Key Laboratory of Modern Civil Engineering Technology (2021B1212040003) .'], 'PU': ['ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD'], 'PI': ['LONDON'], 'PA': ['24-28 OVAL RD, LONDON NW1 7DX, ENGLAND'], 'J9': ['MECH SYST SIGNAL PR'], 'JI': ['Mech. Syst. Signal Proc.'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",0888-3270,JUL 1,2024,216,,,,10.1016/j.ymssp.2024.111509,WOS:001241216300001,"['Times Cited in Web of Science Core Collection:  6', 'Total Times Cited:  6', 'Cited Reference Count:  55']",WOS,111509,MAY 2024,
JOUR,"['Getman, Y', 'Phan, N', 'Al-Ghezi, R', 'Voskoboinik, E', 'Singh, M', 'Grósz, T', 'Kurimo, M', 'Salvi, G', 'Svendsen, T', 'Strömbergsson, S', 'Smolander, A', 'Ylinen, S']",Developing an AI-Assisted Low-Resource Spoken Language Learning App for Children,IEEE ACCESS,English,"['ASR', ""children's speech"", 'L2 speech', 'speech rating', 'SSD', 'wav2vec2', 'VIDEO GAMES', 'SPEECH', 'ENGLISH']","Computer-assisted Language Learning (CALL) is a rapidly developing area accelerated by advancements in the field of AI. A well-designed and reliable CALL system allows students to practice language skills, like pronunciation, any time outside of the classroom. Furthermore, gamification via mobile applications has shown encouraging results on learning outcomes and motivates young users to practice more and perceive language learning as a positive experience. In this work, we adapt the latest speech recognition technology to be a part of an online pronunciation training system for small children. As part of our gamified mobile application, our models will assess the pronunciation quality of young Swedish children diagnosed with Speech Sound Disorder, and participating in speech therapy. Additionally, the models provide feedback to young non-native children learning to pronounce Swedish and Finnish words. Our experiments revealed that these new models fit into an online game as they function as speech recognizers and pronunciation evaluators simultaneously. To make our systems more trustworthy and explainable, we investigated whether the combination of modern input attribution algorithms and time-aligned transcripts can explain the decisions made by the models, give us insights into how the models work and provide a tool to develop more reliable solutions.","Aalto Univ, Dept Informat & Commun Engn, Espoo 02150, Finland",Aalto University,"defaultdict(<class 'list'>, {'FU': ['NordForsk [103893]'], 'FX': ['This work was supported by NordForsk through funding to technology-enhanced foreign and second-language learning of Nordic languages under Project 103893.'], 'PU': ['IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC'], 'PI': ['PISCATAWAY'], 'PA': ['445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA'], 'J9': ['IEEE ACCESS'], 'JI': ['IEEE Access'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",2169-3536,,2023,11,,86025,86037,10.1109/ACCESS.2023.3304274,WOS:001051656600001,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  62']",WOS,,,
CPAPER,"['Gu, HX', 'Petrangeli, S', 'Swaminathan, V']",SumBot: Summarize Videos Like a Human,2020 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA (ISM 2020),English,,"Video currently accounts for 70% of all internet traffic and this number is expected to continue to grow. Each minute, more than 500 hours worth of videos are uploaded on YouTube. Generating engaging short videos out of the raw captured content is often a time-consuming and cumbersome activity for content creators. Existing ML-based video summarization and highlight generation approaches often neglect the fact that many summarization tasks require specific domain knowledge of the video content, and that human editors often follow a semi-structured template when creating the summary (e.g. to create the highlights for a sport event). We therefore address in this paper the challenge of creating domain-specific summaries, by actively leveraging this editorial template. Particularly, we present an Inverse Reinforcement Learning (IRL)-based framework that can automatically learn the hidden structure or template followed by a human expert when generating a video summary for a specific domain. Particularly, we propose to formulate the video summarization task as a Markov Decision Process, where each state is a combination of the features of the video shots added to the summary, and the possible actions are to include/remove a shot from the summary or leave it as is. Using a set of domain-specific human-generated video highlights as examples, we employ a Maximum Entropy IRL algorithm to learn the implicit reward function governing the summary generation process. The learned reward function is then used to train an RL-agent that can produce video summaries for a specific domain, closely resembling what a human expert would create. Learning from expert demonstrations allows our approach to be applicable to any domain or editorial styles. To demonstrate the superior performance of our approach, we employ it to the task of soccer games highlight generation and show that it outperforms other state-of-the-art methods, both quantitatively and qualitatively.","Univ Calif Los Angeles, Los Angeles, CA 90095 USA",University of California System,"defaultdict(<class 'list'>, {'CP': ['22nd IEEE International Symposium on Multimedia (IEEE ISM)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE INT SYM MULTIM'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-7281-8697-9,,2020,,,210,217,10.1109/ISM.2020.00044,WOS:000654273000038,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  27']",WOS,,,['IEEE']
JOUR,"['Lopes, RP', 'Barroso, B', 'Deusdado, L', 'Novo, A', 'Guimaraes, M', 'Teixeira, JP', 'Leitao, P']",Digital Technologies for Innovative Mental Health Rehabilitation,ELECTRONICS,English,"['virtual reality', 'cognitive rehabilitation', 'digital games', 'UPPER-LIMB REHABILITATION', 'VIRTUAL-REALITY', 'WALKING SPEED', 'SCHIZOPHRENIA', 'SYMPTOMS', 'STROKE']","Schizophrenia is a chronic mental illness, characterized by the loss of the notion of reality, failing to distinguish it from the imaginary. It affects the patient in life's major areas, such as work, interpersonal relationships, or self-care, and the usual treatment is performed with the help of anti-psychotic medication, which targets primarily the hallucinations, delirium, etc. Other symptoms, such as the decreased emotional expression or avolition, require a multidisciplinary approach, including psychopharmacology, cognitive training, and many forms of therapy. In this context, this paper addresses the use of digital technologies to design and develop innovative rehabilitation techniques, particularly focusing on mental health rehabilitation, and contributing for the promotion of well-being and health from a holistic perspective. In this context, serious games and virtual reality allows for creation of immersive environments that contribute to a more effective and lasting recovery, with improvements in terms of quality of life. The use of machine learning techniques will allow the real-time analysis of the data collected during the execution of the rehabilitation procedures, as well as enable their dynamic and automatic adaptation according to the profile and performance of the patients, by increasing or reducing the exercises' difficulty. It relies on the acquisition of biometric and physiological signals, such as voice, heart rate, and game performance, to estimate the stress level, thus adapting the difficulty of the experience to the skills of the patient. The system described in this paper is currently in development, in collaboration with a health unit, and is an engineering effort that combines hardware and software to develop a rehabilitation tool for schizophrenic patients. A clinical trial is also planned for assessing the effectiveness of the system among negative symptoms in schizophrenia patients.","Inst Politecn Braganca IPB, Res Ctr Digitalizat & Intelligent Robot CeDRI, P-5300253 Braganca, Portugal",,"defaultdict(<class 'list'>, {'FU': ['European Regional Development Fund (ERDF) [Norte-01-0145-FEDER-000042]'], 'FX': ['This work is funded by the European Regional Development Fund (ERDF) through the Regional Operational Program North 2020, within the scope of Project GreenHealth - Digital strategies in biological assets to improve well-being and promote green health, Norte-01-0145-FEDER-000042.'], 'PU': ['MDPI'], 'PI': ['BASEL'], 'PA': ['ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND'], 'J9': ['ELECTRONICS-SWITZ'], 'JI': ['Electronics'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)', 'Social Science Citation Index (SSCI)']})",2079-9292,SEP,2021,10,18,,,10.3390/electronics10182260,WOS:000699456400001,"['Times Cited in Web of Science Core Collection:  17', 'Total Times Cited:  20', 'Cited Reference Count:  55']",WOS,2260,,
JOUR,"[""O'Meara, J"", 'Murphy, C']",Aberrant AI creations: co-creating surrealist body horror using the DALL-E Mini text-to-image generator,CONVERGENCE-THE INTERNATIONAL JOURNAL OF RESEARCH INTO NEW MEDIA TECHNOLOGIES,English,"['DALL-E Mini', 'algorithmic culture', 'text-to-image synthesis', 'screen media', 'visual culture', 'media archaeology', 'storyboards', 'storytelling', 'pop culture', 'digital culture', 'social media', 'surrealism', 'body horror', 'memes', 'algorithmic anxiety']","The emergence in 2022 of surreal and grotesque image sets created using the free online AI text-to-image generator DALL-E Mini (Craiyon) prompts our analysis of their aesthetic content and connections to preexisting media forms and trends in digital culture. DALL-E Mini uses an unfiltered database of images from the internet to create new images based on a user's text prompt, often resulting in misshapen bodies and impossible scenarios. Despite its technological limitations, DALL-E Mini's popularity as a meme-making tool is visible on social media platforms, where crowd-sourced images are shared and experimentation with the tool is encouraged. Through comparison with existing artistic practices and formats (creative automata, surrealism, body horror, celebrity memes), we argue that DALL-E Mini creations can be understood as human-AI co-creations and forms of aesthetic mimicry. Building on the ideas of surrealists such as Andr ' e Breton, we propose that DALL-E Mini's images, prompts and the grid interface adhere to surrealism's historical interests in the unconscious, the uncanny, and the collaborative 'exquisite corpse' parlour game. We also consider DALL-E Mini's relevance to the category of 'AI Arts', PatriciaDe Vries's call for more research that relates algorithms to the broader artistic and cultural contexts in which they are embedded (2020), and the 'authoring' of celebrity bodies as data (Kanai, 2016). Our theorisation of DALL-E Mini is supported by examples drawn from social media and personal experiments with the generator. Overall, we propose that internet users' experimentation with DALL-E Mini corresponds with a cultural moment in which AI imaging technologies are eliciting excitement and anxiety. The outputs are revealed to be reliant on users' pop cultural knowledge, with DALL-E Mini allowing for a playful, co-creative algorithmic practice, wherein contemporary anxieties about digital labour, (post)digital culture, biopolitics, and global issues are redirected into surreal visual storyworlds.","Trinity Coll Dublin, Dept Film, Dublin, Ireland",Trinity College Dublin,"defaultdict(<class 'list'>, {'FU': [""Trinity College Dublin (Provost's Project Award); Irish Research Council [IRCLA/2022/2959]""], 'FX': [""The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the Trinity College Dublin (Provost's Project Award) and Irish Research Council (IRCLA/2022/2959).""], 'PU': ['SAGE PUBLICATIONS INC'], 'PI': ['THOUSAND OAKS'], 'PA': ['2455 TELLER RD, THOUSAND OAKS, CA 91320 USA'], 'J9': ['CONVERGENCE-US'], 'JI': ['Convergence'], 'WE': ['Social Science Citation Index (SSCI)']})",1354-8565,AUG,2023,29,4,1070,1096,10.1177/13548565231185865,WOS:001185830500016,"['Times Cited in Web of Science Core Collection:  12', 'Total Times Cited:  12', 'Cited Reference Count:  83']",WOS,,,
JOUR,"['Vidal-Balea, A', 'Blanco-Novoa, O', 'Fraga-Lamas, P', 'Fernández-Caramés, TM']","Developing the Next Generation of Augmented Reality Games for Pediatric Healthcare: An Open-Source Collaborative Framework Based on ARCore for Implementing Teaching, Training and Monitoring Applications",SENSORS,English,"['augmented reality', 'mixed reality', 'gaming', 'ARCore', 'teaching', 'training', 'online education', 'pediatric', 'mobile health', 'eHealth']","Augmented Reality (AR) provides an alternative to the traditional forms of interaction between humans and machines, and facilitates the access to certain technologies to groups of people with special needs like children. For instance, in pediatric healthcare, it is important to help children to feel comfortable during medical procedures and tests that may be performed on them. To tackle such an issue with the help of AR-based solutions, this article presents the design, implementation and evaluation of a novel open-source collaborative framework that enables to develop teaching, training, and monitoring pediatric healthcare applications. Specifically, such a framework allows for building collaborative applications and shared experiences for AR devices, providing functionalities for connecting with other AR devices and enabling real-time visualization and simultaneous interaction with virtual objects. Since all the communications involved in AR interactions are handled by AR devices, the proposed collaborative framework is able to operate autonomously through a Local Area Network (LAN), thus requiring no cloud or external servers. In order to demonstrate the potential of the proposed framework, a practical use case application is presented. Such an application has been designed to motivate pediatric patients and to encourage them to increase their physical activity through AR games. The presented games do not require any previous configuration, as they use ARCore automatic surface detection technology. Moreover, the AR mobile gaming framework allows multiple players to engage in the same AR experience, so children can interact and collaborate among them sharing the same AR content. In addition, the proposed AR system provides a remote web application that is able to collect and to visualize data on patient use, aiming to provide healthcare professionals with qualified data about the mobility and mood of their patients through an intuitive and user-friendly web tool. Finally, to determine the performance of the proposed AR system, this article presents its evaluation in terms of latency and processing time. The results show that both times are low enough to provide a good user experience.","Univ A Coruna, Dept Comp Engn, Fac Comp Sci, La Coruna 15071, Spain",Universidade da Coruna,"defaultdict(<class 'list'>, {'FU': ['Xunta de Galicia [ED431C 2020/15, ED431G 2019/01]; Agencia Estatal de Investigacion of Spain [RED2018-102668-T, PID2019-104958RB-C42]; ERDF funds of the EU (FEDER Galicia 2014-2020); ERDF funds of the EU (AEI/FEDER Programs, UE)'], 'FX': ['This work has been funded by the Xunta de Galicia (by grant ED431C 2020/15, and grant ED431G 2019/01 to support the Centro de Investigacion de Galicia ""CITIC""), the Agencia Estatal de Investigacion of Spain (by grants RED2018-102668-T and PID2019-104958RB-C42) and ERDF funds of the EU (FEDER Galicia 2014-2020 & AEI/FEDER Programs, UE).'], 'PU': ['MDPI'], 'PI': ['BASEL'], 'PA': ['ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND'], 'J9': ['SENSORS-BASEL'], 'JI': ['Sensors'], 'WE': ['Science Citation Index Expanded (SCI-EXPANDED)']})",1424-8220,MAR,2021,21,5,,,10.3390/s21051865,WOS:000628601300001,"['Times Cited in Web of Science Core Collection:  9', 'Total Times Cited:  10', 'Cited Reference Count:  35']",WOS,1865,,
JOUR,"['Kocharyan, AB', 'Kovalova, OA']",USING NEO LMS FOR GAMIFICATION OF YOUNG RESEARCHERS' PUBLISHING ACTIVITY,INFORMATION TECHNOLOGIES AND LEARNING TOOLS,English,"['publishing activity', 'distance learning', 'electronic learning courses', 'gamification of the educational process']","The article presents the interim results of the project ""Scientific and Methodological Support for Creating Electronic Open Access Journal for Publishing the Results of the Students` of the Minor Academy of Sciences of Ukraine Scientific Activity"". The project is a part of the joint program of the Ministry of Education and Science of Ukraine and the National Academy of Educational Sciences of Ukraine in 2021-2023. The expediency of training young researchers for publishing activities in professional journals is substantiated. The article presents a generalized brief analysis of the latest research on specialized education, publishing activities of researchers, theoretical and practical aspects of the use of open electronic journal systems. The article introduces the detailed stages of implementation of the project ""Scientific and Methodological Support for Creating Electronic Open Access Journal for Publishing the Results of the Students` of the Minor Academy of Sciences of Ukraine Scientific Activity "". The selected publication model of the electronic open journal is described and its uniqueness in comparison with traditional scientific electronic publications is determined, which is based on the use of the principle of gamification that involves students in the double-blind review procedure. The possible obstacles than can encounter while preparation the young researchers for the activity of reviewers is determined and the solution of this problem is presented, the students` preparation on the created platform of distance learning NEO LMS is presented. It is presented the generalized structure of the created e-learning courses and the content of their modules for preparing future researchers for publishing: for the future authors of scientific publications, for the future reviewers of scientific publications and for the future editors of electronic open journal. The detailed structure and content of the e-learning courses for future authors of scientific publications is introduced. Methodical recommendations for the creation of e-learning courses on the NEO LMS platform are provided and scenarios for the use of gamification are described. The following gamification scenarios are described: automation of badges, certificates, team and individual games. The scenario of gamification application on the example of team project activity is specified. The advantages of using gamification tools on the NEO LMS platform are highlighted, which can qualitatively prepare young researchers for high standard publishing activities, the development of their scientific style of speech, formation of argumentation and interpretation skills. Discussion issues of the research are identified and possible prospects for the further scientific research are presented.","Inst Gifted Child NAES Ukraine, Pedag Sci, Kiev, Ukraine",,"defaultdict(<class 'list'>, {'PU': ['NATL ACAD PEDAGOGICAL SCIENCES UKRAINE, INST DIGITALISATION EDUCATION'], 'PI': ['KYIV'], 'PA': ['VUL M BERLYNSKOHO 9, KYIV, 04060, UKRAINE'], 'J9': ['INF TECHNOL LEARN TO'], 'JI': ['Inf. Technol. Learn. Tools'], 'WE': ['Emerging Sources Citation Index (ESCI)']})",2076-8184,,2022,91,5,1,20,10.33407/itlt.v91i5.4978,WOS:000879900900001,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  35']",WOS,,,
CPAPER,"['Bansal, M', 'Priya']",Machine Learning Perspective in VLSI Computer-Aided Design at Different Abstraction Levels,MOBILE COMPUTING AND SUSTAINABLE INFORMATICS,English,"['VLSI', 'Machine learning', 'SoC', 'Integrated circuits', 'Algorithms', 'Computer-aided design', 'SVM', 'Regression', 'GAME']","In the past fewdecades, machine learning, a subset of artificial intelligence (AI), has emerged as a disruptive technology which is now being extensively used and has stretched across various domains. Among the numerous applications, one of the most significant advancements due to Machine Learning is in the field of Very Large Scale Integrated Circuits (VLSI). Further growth and improvements in this field are highly anticipated in the near future. The fabrication of thousands of transistors in VLSI is time consuming and complex which demanded the automation of design process, and hence, computer-aided design (CAD) tools and technologies have started to evolve. The incorporation of machine learning in VLSI involves the application of machine learning algorithms at different abstraction levels of VLSI CAD. In this paper, we summarize several machine learning algorithms that have been developed and are being widely used. We also have briefly discussed about how machine learning methods have transuded the layers of VLSI design process from register transfer level (RTL) assertion generation to static timing analysis (STA) with smart and efficient models and methodologies, further enhancing the quality of chip design with power, performance and area improvements and complexity and turnaround time reduction.","Delhi Technol Univ DTU, Dept Elect & Commun Engn, Delhi 110042, India",Delhi Technological University,"defaultdict(<class 'list'>, {'ED': ['Shakya, S', 'Bestak, R', 'Palanisamy, R', 'Kamel, KA'], 'CP': ['International Conference on Mobile Computing and Sustainable Informatics (ICMCSI)'], 'PU': ['SPRINGER-VERLAG SINGAPORE PTE LTD'], 'PI': ['SINGAPORE'], 'PA': ['152 BEACH ROAD, #21-01/04 GATEWAY EAST, SINGAPORE, 189721, SINGAPORE'], 'J9': ['LECT NOTE DATA ENG'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2367-4512,,2022,68,,95,112,10.1007/978-981-16-1866-6_6,WOS:000850167200006,"['Times Cited in Web of Science Core Collection:  4', 'Total Times Cited:  4', 'Cited Reference Count:  24']",WOS,,,
